Date,Open,High,Low,Close,macd_cla,macdsignal_cla,macdhist_cla,macd_sh,macdsignal_sh,macdhist_sh,cci_14,cci_20,rsi_7,rsi_14,rsi_21,CDLXSIDEGAP3METHODS,CDLEVENINGSTAR,CDLMORNINGSTAR,CDLENGULFING,CDLDARKCLOUDCOVER,CDLDOJI,CDLHAMMER,CDLHANGINGMAN,CDLHARAMI,CDLPIERCING,CDLSHOOTINGSTAR
2016-06-07,10.85,11.0,10.78,10.93,-0.1530510238909386,-0.13895918932687998,-0.01409183456405863,-0.2986703237513737,-0.3139680579038561,0.015297734152482423,-29.314935850883334,-52.279015581767716,43.86780448787012,42.888916730037465,43.784128387818214,0,0,0,0,0,0,0,0,0,0,0
2016-06-08,10.87,11.01,10.77,10.85,-0.15257127936852832,-0.14168160733520965,-0.01088967203331867,-0.297540129671626,-0.3084920818264461,0.010951952154820088,-28.89992160961559,-53.598637626602226,38.41567357031779,40.75688510853428,42.41499664024373,0,0,0,0,0,100,0,0,0,0,0
2016-06-09,10.89,10.89,10.7,10.84,-0.15125442791229915,-0.14359617145062756,-0.007658256461671592,-0.29409630136823495,-0.30369348834037574,0.009597186972140792,-55.61694290976016,-62.86441217004129,37.73178626107191,40.485960962614435,42.24162881533107,0,0,0,0,0,0,0,0,0,0,0
2016-06-10,10.84,10.85,10.58,10.67,-0.16206026306297616,-0.1472889897730973,-0.014771273289878872,-0.33370395944817055,-0.3136969787096407,-0.020006980738529856,-140.128558310375,-81.40512483093907,27.88587228001279,36.093487197290344,39.36923329256133,0,0,0,0,0,0,0,0,0,0,0
2016-06-13,10.56,10.59,10.22,10.3,-0.19819520213472508,-0.15747023224542284,-0.04072496988930224,-0.45524018936056976,-0.36087804892661707,-0.09436214043395269,-289.68926553672196,-154.3744158641147,16.772496895304634,28.77585674901257,34.074171930860985,0,0,0,0,0,0,0,0,0,0,0
2016-06-14,10.14,10.25,9.935,10.0,-0.2481790409842759,-0.17561199399319344,-0.07256704699108246,-0.6066659602431823,-0.44280735269880545,-0.16385860754437687,-272.28460885156005,-227.76281816872228,12.180564494270405,24.447861968659662,30.573379820104513,0,0,0,0,0,0,0,0,0,0,0
2016-06-15,10.0,10.17,9.915,9.92,-0.2908936834905127,-0.19866833189265728,-0.09222535159785542,-0.7129957796832862,-0.5328701616936323,-0.18012561798965387,-190.23631840795966,-221.92489519222244,11.224513993036132,23.435611087583773,29.718460081303057,0,0,0,0,0,0,0,0,0,0,0
2016-06-16,9.92,9.935,9.655,9.725,-0.3366000993174456,-0.22625468537761495,-0.11034541393983066,-0.8209072256329204,-0.6288825163400616,-0.19202470929285875,-171.81241823487875,-224.88302479002587,9.176311156058203,21.138171961719284,27.73363341161411,0,0,0,0,0,0,0,0,0,0,0
2016-06-17,9.93,9.93,9.725,9.775,-0.3645854667109969,-0.25392084164429135,-0.11066462506670555,-0.8597605948302292,-0.7058418758367841,-0.153918718993445,-126.18582367160236,-172.91800196556062,13.877464398363983,23.216693909577202,29.01012335755072,0,0,0,0,0,0,0,0,0,0,0
2016-06-20,9.955,10.45,9.905,10.45,-0.3285103503759039,-0.26883874339061387,-0.05967160698529006,-0.680802334790938,-0.6974953621548354,0.01669302736389744,-39.61488787131629,-69.05078942362596,52.55585788421547,44.48796261058556,43.22547888669753,0,0,0,0,0,0,0,0,0,0,0
2016-06-21,10.46,10.46,10.16,10.42,-0.2988958250378584,-0.27485015972006277,-0.024045665317795617,-0.563850794492291,-0.6529471729339873,0.08909637844169627,-20.09073233959851,-48.57354968713572,51.35983494200788,43.905791617133296,42.82528691980787,0,0,0,0,-100,0,0,-100,0,0,0
2016-06-22,10.4,10.4,10.2,10.25,-0.2858485949292717,-0.2770498467619046,-0.008798748167367143,-0.5269951803321753,-0.61096317540005,0.08396799506787467,-25.864995430212634,-53.232502965599,44.64324826494075,40.65884302732934,40.58935942499261,0,0,0,0,0,0,0,0,0,0,0
2016-06-23,10.28,10.35,10.15,10.34,-0.2651893850729241,-0.27467775442410847,0.009488369351184356,-0.4690306236326194,-0.5636523248109064,0.09462170117828705,-20.748555639286838,-47.85199679800835,48.78040101416049,43.05962220772489,42.26499484181009,0,0,0,0,0,0,0,0,0,0,0
2016-06-24,9.65,9.775,9.535,9.73,-0.29464226185130826,-0.2786706559095484,-0.015971605941759837,-0.5932931134211827,-0.5735325876809986,-0.019760525740184165,-129.64073994714641,-135.24130190796882,30.660801977953472,33.24288922799235,35.199691968513974,0,0,0,0,0,0,0,0,0,0,0
2016-06-27,9.8,9.89,9.495,9.495,-0.3331065697335003,-0.2895578386743388,-0.04354873105916146,-0.7258233271135914,-0.6242961674918629,-0.10152715962172854,-118.33177067055644,-130.19816376552726,26.27429256888942,30.370330044872706,32.97023385485528,0,0,0,-100,0,0,0,0,0,0,0
2016-06-28,9.8,9.865,9.625,9.855,-0.33072838850463704,-0.2977919486403985,-0.032936439864238554,-0.6958271037511512,-0.6481398129116257,-0.0476872908395255,-74.73346178548488,-96.3635204352724,41.28678620166083,39.05805136485406,39.167757836814594,0,0,0,0,0,0,0,0,0,0,0
2016-06-29,9.87,10.07,9.835,10.05,-0.3095406010631674,-0.30014167912495227,-0.009398921938215121,-0.6098882389720011,-0.6353892882650841,0.025501049293083056,-21.385607339132243,-56.02686461647255,47.98066144043159,43.19264567114172,42.20687936511233,0,0,0,0,0,0,0,0,0,0,0
2016-06-30,10.05,10.24,9.94,10.24,-0.2742562593234048,-0.2949645951646428,0.02070833584123799,-0.4917065789449069,-0.587495051825025,0.09578847288011816,33.47701149425263,-23.92809045068804,53.948916715660374,46.96800427384116,45.01716005733324,0,0,0,0,0,0,0,0,0,0,0
2016-07-01,10.3,10.42,10.11,10.39,-0.23152059261192726,-0.2822757946540997,0.05075520204217243,-0.3665235600584964,-0.5138378879028488,0.1473143278443524,86.90869086908631,13.262822127087464,58.35020559548347,49.80424431657206,47.14758080125968,0,0,0,0,0,0,0,0,0,0,0
2016-07-04,10.34,10.58,10.34,10.57,-0.18104084698200218,-0.2620288051196802,0.080987958137678,-0.23091714890671078,-0.41953097490413616,0.18861382599742538,118.80711880711881,57.192982456140015,63.26542670217257,53.049236127101416,49.60779068307007,0,0,0,0,0,0,0,0,0,0,0
2016-07-05,10.5,10.51,10.15,10.19,-0.16974143548297782,-0.2435713311923397,0.07382989570936188,-0.2468146465350909,-0.3619588654477877,0.11514421891269683,53.848528957698896,20.624110200468827,49.01781611875608,46.251446736621496,44.967875438868425,0,0,0,0,0,0,0,0,0,0,0
2016-07-06,10.16,10.16,9.73,9.77,-0.19245851837709793,-0.23334876862929135,0.04089025025219342,-0.3689202071430504,-0.36427931267954194,-0.00464089446350846,-53.10168017213782,-63.66255144032986,37.98669627852202,40.130562146881275,40.564723475238736,0,0,0,0,0,0,0,0,0,0,0
2016-07-07,9.8,9.985,9.8,9.94,-0.1945022896659161,-0.2255794728366163,0.031077183170700212,-0.391747408134302,-0.3734353444977953,-0.01831206363650667,-50.80671871303573,-51.34923300862167,43.943806908355185,43.39584988423886,42.939306089901066,0,0,0,0,0,0,0,0,100,0,0
2016-07-08,9.94,10.1,9.83,10.09,-0.18192117270227293,-0.21684781280974763,0.034926640107474705,-0.3571988419411216,-0.3680231769789041,0.010824335037782462,-18.770226537217265,-17.663232853106532,48.98821744142507,46.18484585379499,44.97600464263314,0,0,0,0,0,0,0,0,0,0,0
2016-07-11,10.2,10.2,9.93,10.04,-0.17397960046349503,-0.2082741703404971,0.03429456987700208,-0.34272013652428335,-0.35958883016069715,0.0168686936364138,1.6077771546075934,2.4873582069152396,47.331816272351105,45.38215528773105,44.42106377985937,0,0,0,0,0,0,0,0,0,0,0
2016-07-12,10.01,10.27,9.95,10.12,-0.15939313104036756,-0.1984979624804712,0.03910483144010363,-0.3050350231780463,-0.3414042278331469,0.03636920465510057,24.62819750148639,19.973009446692778,50.45867514496752,46.97023759618525,45.549754503784975,0,0,0,0,0,0,0,0,0,0,0
2016-07-13,10.18,10.27,10.06,10.25,-0.1357781691727844,-0.18595400381893384,0.05017583464614944,-0.2395474513826752,-0.307451969016323,0.0679045176336478,55.043994270513835,41.94786290856129,55.47062474790406,49.537921917621006,47.37328752107723,0,0,0,0,0,0,0,0,0,0,0
2016-07-14,10.11,10.38,10.11,10.33,-0.10934732247683954,-0.17063266755051498,0.061285345073675446,-0.17165624967109494,-0.2621867292345803,0.09053047956348537,72.2330941509026,61.25122830003265,58.4859075540921,51.10684386604828,48.48798812127658,0,0,0,0,0,0,0,0,0,0,0
2016-07-15,10.25,10.37,10.23,10.23,-0.09537047879794436,-0.15558022980000086,0.0602097510020565,-0.1535088958217461,-0.22596078476363557,0.07245188894188948,64.67513069454807,57.22117526126388,53.229482288354745,49.053775810817534,47.17646279595476,0,0,0,0,0,100,0,0,-100,0,0
2016-07-18,10.22,10.36,10.21,10.23,-0.08333311718287995,-0.14113080727657668,0.05779769009369673,-0.13924002680879077,-0.19705386544535397,0.0578138386365632,51.33333333333298,53.841759497285835,53.22948228835473,49.053775810817534,47.17646279595476,0,0,0,0,0,100,0,0,0,0,0
2016-07-19,10.2,10.26,10.11,10.12,-0.08172739948238394,-0.12925012571773814,0.047522726235354196,-0.15823296063750725,-0.1841135638427384,0.02588060320523114,-3.1107044830745187,22.41021074502688,46.91628782397557,46.66237079261669,45.67808379921323,0,0,0,0,0,0,0,0,0,0,0
2016-07-20,10.25,10.28,10.12,10.14,-0.077942550577637,-0.11898861068971792,0.04104606011208092,-0.16170567896230104,-0.1766442688825926,0.014938589920291567,4.0187246069595295,30.868694226916084,48.21900873673178,47.16669575056475,46.00547922108777,0,0,0,0,0,0,0,0,0,0,0
2016-07-21,10.23,10.24,10.07,10.19,-0.07010037493343191,-0.10921096353846071,0.039110588605028807,-0.147008766815647,-0.16676576819361075,0.01975700137796374,2.44813081903614,28.78929349517557,51.677794372116594,48.47826705800433,46.846408441602,0,0,0,0,0,0,0,0,0,0,0
