Date,Open,High,Low,Close,macd_cla,macdsignal_cla,macdhist_cla,macd_sh,macdsignal_sh,macdhist_sh,cci_14,cci_20,rsi_7,rsi_14,rsi_21,CDLXSIDEGAP3METHODS,CDLEVENINGSTAR,CDLMORNINGSTAR,CDLENGULFING,CDLDARKCLOUDCOVER,CDLDOJI,CDLHAMMER,CDLHANGINGMAN,CDLHARAMI,CDLPIERCING,CDLSHOOTINGSTAR
2015-09-01,1.07189,1.08762,1.0599299999999998,1.06056,,,,,,,148.24988508441135,182.9153986875012,69.26589451804205,63.06154882306034,59.489661463612364,0,0,0,0,0,0,0,0,0,0,0
2015-09-02,1.0630700000000002,1.0693700000000002,1.0058,1.00769,,,,,,,72.13366382841902,87.52714339198808,52.490208961889614,52.62064280514722,52.15332103382511,0,0,0,0,0,0,0,0,0,0,0
2015-09-03,1.0165,1.02846,0.9944700000000001,1.02342,,,,,,,47.32157492629544,58.91148203155806,56.174499856764534,55.007454794899516,53.928251658718004,0,0,0,0,0,0,100,0,100,0,0
2015-09-04,1.0139799999999999,1.0372700000000001,0.98251,0.98377,,,,,,,24.709391251147235,31.39901292170886,45.7428056080383,48.39009600303504,49.10682860885619,0,0,0,0,0,0,0,0,0,0,0
2015-09-07,0.9944700000000001,1.00706,0.9856600000000001,0.98629,,,,,,,10.879407326107964,16.419986650852092,46.479755337758704,48.81157595665212,49.40867196916712,0,0,0,0,0,0,0,0,100,0,0
2015-09-08,0.99384,1.00454,0.98692,1.00328,,,,,,,14.019821126420318,26.1439603980767,51.64575921205723,51.67691517826925,51.44720829933473,0,0,0,0,0,0,0,0,0,0,0
2015-09-09,1.0209,1.0372700000000001,1.01146,1.01776,,,,,,,43.25535907462402,62.82680518632346,55.880165133833714,54.03826622081455,53.13701416672796,0,0,0,0,0,100,0,0,0,0,0
2015-09-10,1.01209,1.03349,1.00454,1.00643,,,,,,,25.55023140293714,46.563287482432614,51.74375142254335,51.90114633393465,51.65985783174558,0,0,0,0,0,0,0,0,0,0,0
2015-09-11,1.02027,1.02405,0.9856600000000001,0.9894299999999999,,,,,,,-20.531360907493056,19.52939697835724,45.80802765066009,48.78365328100813,49.49227815805195,0,0,0,0,0,0,0,0,0,0,0
2015-09-14,0.9913200000000001,1.00013,0.95545,0.963,,,,,,,-114.22448235856616,-25.11929918631777,37.918335367220514,44.32587198948599,46.31961240561485,0,0,0,0,0,0,0,0,0,0,0
2015-09-15,0.963,1.0058,0.94663,1.00454,,,,,,,-89.67300489772401,-6.177916847767172,52.81889810398175,51.78340206457895,51.45517945416761,0,0,0,0,0,0,0,0,0,0,0
2015-09-16,1.00769,1.03475,1.00769,1.03475,,,,,,,26.497647609429045,58.5965472266754,60.801428487573375,56.3614545999861,54.76014897679299,0,0,0,0,0,0,0,0,0,0,0
2015-09-17,1.03853,1.04356,1.0215299999999998,1.03916,0.011861676795619447,0.009426899727034366,0.002434777068585081,,,,58.51614477638711,70.26795746909899,61.89927197235631,57.003243863079035,55.22736143148532,0,0,0,0,0,100,0,0,0,0,0
2015-09-18,1.02216,1.03538,1.00894,1.0171299999999999,0.01187045265660458,0.009915610312948409,0.0019548423436561713,,,,27.762562902047055,37.89064827185135,53.21339191230414,52.82385425571565,52.38942859072419,0,0,0,0,0,0,0,0,0,0,0
2015-09-21,1.00957,1.02972,1.00076,1.0171299999999999,0.011742052517415225,0.010280898753841772,0.0014611537635734525,,,,30.329850459244078,18.141564049446018,53.213391912304154,52.82385425571565,52.389428590724194,0,0,0,0,0,0,0,0,0,0,0
2015-09-22,1.01524,1.01524,0.96929,0.97244,0.00794262730845019,0.009813244464763456,-0.001870617156313266,,,,-89.66042618913468,-84.00339537530586,38.35332550901705,45.0524893049462,46.989108747020694,0,0,0,0,0,0,0,0,0,0,0
2015-09-23,0.9730700000000001,0.98629,0.9252299999999999,0.93405,0.001812905252327246,0.008213176622276214,-0.006400271369948968,,,,-195.87138544375185,-190.67106618523377,29.966609106963187,39.65537386000606,42.991877371464184,0,0,0,0,0,0,0,0,0,0,0
2015-09-24,0.9252299999999999,0.9378200000000001,0.9095,0.93216,-0.003161012657767137,0.005938338766267544,-0.009099351424034681,-0.020358988601476335,0.005811490345548331,-0.026170478947024668,-198.02607033039106,-206.3908266826499,29.594905842366327,39.405095285362805,42.80365297836271,0,0,0,0,0,0,0,0,0,0,0
2015-09-25,0.94789,0.94852,0.9164200000000001,0.92901,-0.007273216004333838,0.0032960278121472674,-0.010569243816481106,-0.02857356468054384,-0.005650194663149058,-0.022923370017394782,-141.3176360256564,-167.2731744739671,28.897924795546416,38.96371250350157,42.47819598487355,0,0,0,0,0,0,0,0,0,0,0
