Date,Open,High,Low,Close,macd_cla,macdsignal_cla,macdhist_cla,macd_sh,macdsignal_sh,macdhist_sh,cci_14,cci_20,rsi_7,rsi_14,rsi_21,CDLXSIDEGAP3METHODS,CDLEVENINGSTAR,CDLMORNINGSTAR,CDLENGULFING,CDLDARKCLOUDCOVER,CDLDOJI,CDLHAMMER,CDLHANGINGMAN,CDLHARAMI,CDLPIERCING,CDLSHOOTINGSTAR
2015-09-03,2.13,2.214,2.124,2.1919999999999997,,,,,,,-53.34109580179838,-65.85577074476485,42.746394213674925,32.67612061412182,29.19774898573484,0,0,0,0,0,0,0,0,100,0,0
2015-09-04,2.182,2.2,2.128,2.1719999999999997,,,,,,,-56.40771076363039,-66.53417700314473,40.829114703801345,31.94284056339287,28.761999610017696,0,0,0,0,0,100,0,0,0,0,0
2015-09-07,2.1519999999999997,2.22,2.144,2.15,,,,,,,-41.02564102563996,-61.927959846471744,38.606879035472055,31.115668452357852,28.274621315048538,0,0,0,0,0,100,0,0,0,0,0
2015-09-08,2.154,2.23,2.154,2.21,,,,,,,12.636165577342997,-42.030002338712556,47.66943913020765,35.98445827783445,31.594017290866645,0,0,0,0,0,0,0,0,0,0,0
2015-09-09,2.238,2.31,2.238,2.258,,,,,,,134.0880503144661,15.279199810979016,54.00619920952011,39.65887694161626,34.15376093778118,0,0,0,0,0,0,0,0,0,0,-100
2015-09-10,2.214,2.2840000000000003,2.21,2.24,,,,,,,89.85507246376828,6.115063022588447,51.28904346880554,38.760399031911376,33.65784365581905,0,0,0,0,0,0,0,0,0,0,0
2015-09-11,2.242,2.242,2.19,2.2119999999999997,,,,,,,26.26997716894999,-12.921643753287302,46.99782166683644,37.34314376894696,32.87809930498697,0,0,0,-100,0,0,0,0,0,0,0
2015-09-14,2.1959999999999997,2.208,2.13,2.1719999999999997,,,,,,,-64.85842444631346,-59.336823734730025,41.24621458801255,35.354351782821524,31.773948497040898,0,0,0,0,0,0,0,0,0,0,0
2015-09-15,2.1319999999999997,2.1959999999999997,2.124,2.176,,,,,,,-64.93233477861004,-60.30428769018051,42.073275023049526,35.72300559477861,32.013684079697796,0,0,0,0,0,0,0,0,0,0,0
2015-09-16,2.156,2.224,2.136,2.146,,,,,,,-50.238205009988675,-48.501362397820095,37.45935803938053,34.15004909098091,31.15167039082135,0,0,0,0,0,0,0,0,-100,0,0
