Date,Open,High,Low,Close,SMA_20,SMA_50,macd,macdsignal,macdhist,cci,rsi,CDLXSIDEGAP3METHODS,CDLEVENINGSTAR,CDLMORNINGSTAR,CDLENGULFING,CDLDARKCLOUDCOVER,CDLDOJI,CDLHAMMER,CDLHANGINGMAN,CDLHARAMI,CDLPIERCING,CDLSHOOTINGSTAR
2016-04-14,4.88,4.88,4.784,4.8,4.703699999999999,4.3096,0.11745596422225191,0.12687552767161403,-0.009419563449362123,159.1445427728597,61.842172923792404,0,0,0,0,-100,0,0,0,0,0,0
2016-04-15,4.78,4.9,4.78,4.9,4.717199999999999,4.327999999999999,0.12274227517343039,0.1260488771719773,-0.003306601998546904,175.4470621629302,65.86620069985182,0,0,0,100,0,0,0,0,0,0,0
2016-04-18,4.78,4.94,4.72,4.93,4.730699999999999,4.3496,0.1278783618141146,0.12641477410040475,0.0014635877137098574,138.05463445444533,66.99085124267924,0,0,0,0,0,0,0,0,0,0,0
2016-04-19,4.96,4.99,4.88,4.99,4.7452999999999985,4.3773599999999995,0.13523138283671177,0.12817809584766615,0.007053286989045615,173.65728900255849,69.17814173250677,0,0,0,0,0,0,0,-100,0,0,0
2016-04-20,4.982,4.99,4.928,4.99,4.761999999999998,4.40516,0.1394511983633997,0.13043271635081286,0.009018482012586843,147.48358862144403,69.17814173250679,0,0,0,0,0,100,0,-100,0,0,0
2016-04-21,4.934,4.988,4.89,4.9,4.7746999999999975,4.43576,0.13398864701407032,0.13114390248346436,0.0028447445306059582,97.19207579672764,62.027913002954115,0,0,0,0,0,0,0,0,0,0,0
2016-04-22,4.87,4.9,4.86,4.9,4.787399999999998,4.463760000000001,0.12818193416756962,0.1305515088202854,-0.0023695746527157835,59.24426450742327,62.02791300295411,0,0,0,0,0,0,0,0,0,0,0
2016-04-25,4.84,4.96,4.84,4.96,4.803099999999998,4.4885600000000005,0.12695807727452646,0.12983282251113362,-0.0028747452366071624,72.60240729955378,64.83789787355589,0,0,0,0,0,0,0,0,0,0,0
2016-04-26,4.9,4.978,4.88,4.882,4.810199999999998,4.512840000000001,0.11833017711872884,0.12753229343265265,-0.009202116313923814,59.79403794037867,58.75116766095416,0,0,0,0,0,0,0,0,-100,0,0
2016-04-27,4.882,4.91,4.848,4.904,4.8173999999999975,4.53256,0.11197691999246384,0.1244212187446149,-0.012444298752151056,29.38456065457052,59.89475429153074,0,0,0,0,0,0,100,0,0,0,0
2016-04-28,4.9,4.92,4.8580000000000005,4.87,4.825799999999998,4.54744,0.1030109559192649,0.1201391661795449,-0.017128210260279997,14.508083935327317,57.252975831667996,0,0,0,0,0,0,0,0,0,0,0
2016-04-29,4.87,4.93,4.84,4.868,4.833199999999998,4.56428,0.09465288200528565,0.11504190934469305,-0.020389027339407395,2.171194156785157,57.09345049863629,0,0,0,0,0,100,0,0,0,0,0
2016-05-02,4.83,4.8660000000000005,4.752,4.83,4.838099999999998,4.5770800000000005,0.08399452914384575,0.1088324333045236,-0.02483790416067784,-117.03703703703609,54.01397992766511,0,0,0,0,0,100,0,0,0,0,0
2016-05-03,4.77,4.828,4.754,4.78,4.840599999999998,4.5912,0.07069816118523775,0.10120557888066642,-0.030507417695428668,-164.02116402116212,50.17883785348426,0,0,0,0,0,0,0,0,0,0,0
2016-05-04,4.78,4.78,4.65,4.732,4.847199999999998,4.607200000000001,0.05564604200188139,0.09209367150490941,-0.03644762950302802,-217.7244139508288,46.747307853244365,0,0,0,0,0,0,0,0,0,0,0
2016-05-05,4.768,4.92,4.702,4.82,4.857599999999998,4.6240000000000006,0.05023887122287629,0.08372271144850278,-0.03348384022562649,-75.66408472276918,53.08209376775872,0,0,0,0,0,0,0,0,0,0,0
2016-05-06,4.76,4.82,4.76,4.8,4.861399999999998,4.6378,0.043834519515987935,0.07574507306199982,-0.03191055354601188,-85.2448804796392,51.58031361801236,0,0,0,0,0,0,0,0,0,0,0
2016-05-09,4.6080000000000005,4.67,4.572,4.5760000000000005,4.849099999999997,4.64712,0.02044838049189046,0.06468573454797795,-0.04423735405608749,-212.41997439180568,38.457159610255175,0,0,0,0,0,0,0,0,0,0,0
2016-05-10,4.5760000000000005,4.58,4.394,4.48,4.8375999999999975,4.65232,-0.005765242737723497,0.05059553909083766,-0.056360781828561156,-232.44431418522862,34.415862309728894,0,0,0,0,0,0,0,0,0,0,0
2016-05-11,4.468,4.49,4.3580000000000005,4.43,4.817099999999998,4.65708,-0.03022588495194789,0.03443125428228055,-0.06465713923422844,-189.5833333333334,32.500224452785105,0,0,0,0,0,0,0,0,0,0,0
2016-05-12,4.376,4.49,4.3,4.4,4.797099999999999,4.66208,-0.051438913638853556,0.017257220698053726,-0.06869613433690729,-150.93265886816326,31.37190624191637,0,0,0,0,0,0,0,0,0,0,0
2016-05-13,4.454,4.454,4.35,4.454,4.774799999999997,4.66776,-0.06316491715550221,0.0011727931273425377,-0.06433771028284474,-112.04985028728684,35.69922262783447,0,0,0,0,0,100,0,0,0,0,0
2016-05-16,4.5,4.5,4.34,4.34,4.745299999999998,4.6700800000000005,-0.08072614592603333,-0.015206994683332635,-0.06551915124270069,-100.3243569435012,31.223221401909562,0,0,0,-100,0,0,0,0,0,0,0
2016-05-17,4.35,4.416,4.3180000000000005,4.4,4.715799999999998,4.67356,-0.08877866253056865,-0.029921328252779836,-0.05885733427778882,-90.25060075523469,35.78661652579449,0,0,0,0,0,0,0,0,0,0,0
2016-05-18,4.35,4.42,4.35,4.42,4.687299999999999,4.67708,-0.09248045004089622,-0.04243315261040311,-0.05004729743049311,-72.90510177108119,37.28048500510855,0,0,0,0,0,0,0,0,0,0,0
2016-05-19,4.42,4.7,4.354,4.664,4.675499999999998,4.68684,-0.0748624151838495,-0.04891900512509239,-0.025943410058757117,0.38118166315571433,51.963174725072,0,0,0,0,0,0,0,0,0,0,0
2016-05-20,4.7,4.718,4.612,4.7,4.665499999999998,4.69452,-0.05733418371255716,-0.05060204084258534,-0.00673214286997182,51.63776493256259,53.68589040526952,0,0,0,0,0,100,0,0,0,0,0
2016-05-23,4.72,4.77,4.612,4.68,4.651499999999999,4.70092,-0.044543299412114656,-0.0493902925564912,0.004846993144376546,62.663067926225665,52.55819469876791,0,0,0,-100,0,0,0,0,0,0,0
2016-05-24,4.622,4.738,4.504,4.648,4.639799999999998,4.70748,-0.0365670419184676,-0.04682564242888648,0.01025860051041888,40.49976426214039,50.72235057434177,0,0,0,0,0,0,0,0,0,0,0
2016-05-25,4.646,4.75,4.646,4.75,4.6320999999999986,4.71288,-0.021764366766254817,-0.04181338729636015,0.020049020530105335,90.99502487562218,55.998289946544176,0,0,0,0,0,0,0,0,0,0,0
2016-05-26,4.77,4.838,4.73,4.834,4.630299999999998,4.71812,-0.0032179475812874614,-0.03409429935334561,0.03087635177205815,134.7454477889262,59.81410450718829,0,0,0,0,0,0,0,0,0,0,0
2016-05-27,4.838,4.872,4.728,4.8,4.626899999999998,4.721520000000001,0.008637143775382938,-0.0255480107275999,0.03418515450298284,114.77755421417376,57.63543383710088,0,0,0,0,0,0,0,0,0,0,0
2016-05-30,4.83,4.83,4.77,4.82,4.6263999999999985,4.7247200000000005,0.019422333370775036,-0.01655394190792491,0.03597627527869995,99.78131833801942,58.590909082771816,0,0,0,0,0,100,0,0,0,0,0
2016-05-31,4.85,4.888,4.762,4.886,4.631699999999998,4.72848,0.032915888371486623,-0.006659975852042603,0.039575864223529225,101.01836539298421,61.663650770079215,0,0,0,0,0,0,0,-100,0,0,0
2016-06-01,4.894,4.894,4.81,4.88,4.639099999999997,4.73296,0.04263401962991953,0.0031988232443498233,0.03943519638556971,96.70859538784082,61.218908979837536,0,0,0,0,0,100,0,-100,0,0,0
2016-06-02,4.886,4.888,4.8260000000000005,4.8260000000000005,4.6393999999999975,4.73656,0.04545439005028751,0.011649936605537361,0.033804453444750145,82.22093992434425,57.21903396816877,0,0,0,0,0,0,0,0,0,0,0
2016-06-03,4.8260000000000005,4.872,4.718,4.843999999999999,4.641599999999998,4.74052,0.0485819806639638,0.01903634541722265,0.02954563524674115,58.55658829961713,58.19944085877039,0,0,0,0,0,0,0,0,0,0,0
2016-06-06,4.8260000000000005,4.838,4.7,4.784,4.6519999999999975,4.74328,0.0456924065787927,0.02436755764953666,0.02132484892925604,28.973143759873672,53.775553262154716,0,0,0,0,0,0,0,0,0,0,0
2016-06-07,4.84,4.84,4.702,4.77,4.666499999999997,4.743880000000001,0.04179097495560935,0.027852241110751196,0.013938733844858154,12.629321221297007,52.76765992277019,0,0,0,0,0,0,0,0,0,0,0
2016-06-08,4.77,4.79,4.698,4.698,4.679899999999998,4.742640000000001,0.03251445758752425,0.028784684406105807,0.0037297731814184415,-45.773260852438625,47.80523147857059,0,0,0,0,0,0,0,0,0,0,0
2016-06-09,4.69,4.69,4.604,4.664,4.693099999999998,4.74188,0.022163745033184412,0.02746049653152153,-0.005296751498337117,-126.94438121253486,45.62328506992433,0,0,0,0,0,0,100,0,0,0,0
2016-06-10,4.6739999999999995,4.6739999999999995,4.438,4.5,4.695399999999998,4.737480000000001,0.000719013031543092,0.02211219983152584,-0.021393186799982748,-198.00203496438778,36.87943784378188,0,0,0,0,0,0,0,0,0,0,0
2016-06-13,4.498,4.498,4.25,4.25,4.690899999999997,4.7278400000000005,-0.036033628998592526,0.010483034065502167,-0.046516663064094695,-265.64586846542926,28.053143829747246,0,0,0,0,0,0,0,0,0,0,0
2016-06-14,4.252,4.3,4.0,4.13,4.677399999999997,4.715840000000001,-0.07399044393390053,-0.006411661534378372,-0.06757878239952216,-231.64962918420488,24.96465783368874,0,0,0,0,0,0,0,0,0,0,0
2016-06-15,4.2,4.204,4.07,4.07,4.659899999999998,4.705240000000001,-0.1076718180976437,-0.02666369284703144,-0.08100812525061227,-170.49632352941117,23.567539992756185,0,0,0,0,0,0,0,0,0,0,0
2016-06-16,4.12,4.178,4.05,4.066,4.629999999999997,4.694320000000001,-0.13315241816214218,-0.04796143791005359,-0.0851909802520886,-132.662649835964,23.47322654202192,0,0,0,0,0,0,0,0,0,0,0
2016-06-17,4.132,4.303999999999999,4.1,4.303999999999999,4.610199999999997,4.685920000000001,-0.13261268980057128,-0.06489168828815713,-0.06772100151241416,-79.7007234507234,39.09166925107292,0,0,0,0,0,0,0,0,0,0,0
2016-06-20,4.303999999999999,4.38,4.263999999999999,4.33,4.592699999999997,4.676080000000002,-0.12860449590132816,-0.07763424981079134,-0.050970246090536825,-48.40591646933681,40.519831632894515,0,0,0,0,0,0,0,0,0,0,0
2016-06-21,4.33,4.396,4.31,4.396,4.580099999999997,4.6698,-0.11873363747996901,-0.08585412734462687,-0.03287951013534214,-30.346839135121236,44.10282514211774,0,0,0,0,0,0,0,0,0,0,0
2016-06-22,4.4,4.4,4.27,4.4,4.562599999999998,4.6610000000000005,-0.1093278807398157,-0.09054887802366464,-0.018779002716151058,-26.18877226463122,44.32173246250759,0,0,0,0,0,100,0,-100,0,0,0
2016-06-23,4.3919999999999995,4.44,4.3,4.41,4.541399999999998,4.653200000000001,-0.09991507553610823,-0.09242211752615336,-0.007492958009954878,-10.91242549289325,44.902665013095685,0,0,0,0,0,0,0,0,0,0,0
2016-06-24,4.0,4.2860000000000005,3.9,4.252,4.513999999999998,4.64024,-0.10400572586897461,-0.09473883919471761,-0.009266886674257,-86.1252247322756,38.13279398120428,0,0,0,0,0,0,0,0,0,0,0
2016-06-27,4.284,4.284,4.0,4.0,4.472999999999997,4.62164,-0.12612796500875234,-0.10101666435752456,-0.025111300651227783,-96.44471313009274,30.289069263476804,0,0,0,0,0,0,0,0,0,0,0
2016-06-28,4.08,4.178,3.91,4.15,4.436199999999998,4.60484,-0.13005703595862173,-0.10682473867774399,-0.023232297280877737,-89.94778067885146,38.41005807995904,0,0,0,0,0,0,0,0,100,0,0
2016-06-29,4.18,4.342,4.08,4.302,4.4072999999999976,4.59108,-0.11952788031013029,-0.10936536700422125,-0.010162513305909032,-3.1121936132377934,45.35680004719202,0,0,0,0,0,0,0,0,0,0,0
2016-06-30,4.334,4.5,4.254,4.5,4.390999999999998,4.58308,-0.09412152895806347,-0.10631659939498969,0.01219507043692622,110.93474426807751,52.82163996831546,0,0,0,0,0,0,0,0,0,0,0
2016-07-01,4.47,4.51,4.414,4.5,4.373799999999998,4.57508,-0.07314365791062549,-0.09968201109811685,0.026538353187491356,126.5776052371164,52.82163996831546,0,0,0,0,0,0,0,-100,0,0,0
2016-07-04,4.4319999999999995,4.48,4.342,4.44,4.3565999999999985,4.564679999999999,-0.060660782783309664,-0.09187776543515541,0.03121698265184575,81.98232808298074,50.401804238423665,0,0,0,0,0,100,0,0,0,0,0
2016-07-05,4.39,4.482,4.162,4.162,4.326199999999998,4.55028,-0.07236609961765339,-0.08797543227165501,0.01560933265400162,-6.239460370994475,41.0241920281653,0,0,0,0,0,0,0,0,0,0,0
2016-07-06,4.17,4.2,4.0280000000000005,4.148,4.298699999999998,4.535159999999999,-0.08182905611615521,-0.08674615704055505,0.004917100924399842,-93.60789360789323,40.61437137131519,0,0,0,0,0,100,0,0,0,0,0
2016-07-07,4.198,4.2,4.11,4.2,4.275499999999998,4.52176,-0.08416238036864332,-0.0862294017061727,0.0020670213375293817,-61.344307270232534,42.896178704501,0,0,0,0,0,100,0,-100,0,0,0
2016-07-08,4.2,4.38,4.16,4.38,4.269499999999998,4.512,-0.07067239361069344,-0.08311800008707684,0.012445606476383403,18.338188375641295,50.05070409091788,0,0,0,0,0,0,0,0,0,0,0
2016-07-11,4.4,4.48,4.302,4.45,4.279499999999998,4.504399999999999,-0.05371388667941357,-0.07723717740554419,0.023523290726130616,75.09454349000542,52.540964606841825,0,0,0,0,0,0,0,0,0,0,0
2016-07-12,4.488,4.59,4.436,4.542,4.300099999999999,4.4996399999999985,-0.032476151771096085,-0.06828497227865457,0.035808820507558486,119.81351981352027,55.669173262247206,0,0,0,0,0,0,0,0,0,0,0
2016-07-13,4.6,4.636,4.47,4.48,4.320599999999998,4.494599999999998,-0.020412671124738324,-0.058710512047871324,0.038297840923133,108.8245315161841,53.127695410512544,0,0,0,-100,0,0,0,0,0,0,0
2016-07-14,4.5360000000000005,4.588,4.37,4.46,4.340299999999997,4.487399999999999,-0.012324044736568673,-0.0494332185856108,0.037109173849042124,70.78944387812845,52.2982614767305,0,0,0,0,0,0,0,0,0,0,0
2016-07-15,4.39,4.482,4.2,4.402,4.3451999999999975,4.4794399999999985,-0.010473137512372332,-0.0416412023709631,0.03116806485859077,9.929623927864434,49.86686614118267,0,0,0,0,0,100,0,0,0,0,0
2016-07-18,4.0,4.196000000000001,3.99,4.14,4.3356999999999974,4.470719999999998,-0.02980392943059673,-0.03927374778288983,0.009469818352293095,-129.8534798534795,40.668953068413416,0,0,0,0,0,0,0,0,0,0,0
2016-07-19,4.138,4.14,3.98,3.9819999999999998,4.314999999999998,4.460759999999999,-0.057213479458486205,-0.0428616941180091,-0.014351785340477104,-142.81965492357173,36.318400530241675,0,0,0,0,0,0,0,0,0,0,0
2016-07-20,3.992,4.126,3.98,4.098,4.299899999999997,4.454119999999999,-0.06878263142383023,-0.048045881579173326,-0.020736749844656906,-104.77177799813683,41.284545969364714,0,0,0,0,0,0,0,0,0,0,0
2016-07-21,4.07,4.12,4.022,4.022,4.280499999999998,4.446559999999998,-0.08312561223515313,-0.055061827710369285,-0.02806378452478385,-93.81140484148679,39.13141094711495,0,0,0,0,0,0,0,0,-100,0,0
2016-07-22,4.03,4.098,4.03,4.0760000000000005,4.271699999999998,4.438999999999998,-0.08910799763165755,-0.06187106169462694,-0.027236935937030617,-75.74316290130785,41.467273878812435,0,0,0,0,0,0,0,0,0,0,0
2016-07-25,4.06,4.106,3.972,4.0,4.271699999999998,4.432199999999998,-0.09884225402343016,-0.06926530016038758,-0.029576953863042585,-79.92633517495419,39.1879245024545,0,0,0,0,0,0,0,0,0,0,0
2016-07-26,4.0,4.05,3.932,3.988,4.2635999999999985,4.4239599999999975,-0.10629966568053462,-0.07667217326441698,-0.029627492416117632,-85.97785977859792,38.82503897267884,0,0,0,0,0,100,0,0,0,0,0
2016-07-27,3.99,4.09,3.99,4.0360000000000005,4.250299999999998,4.416279999999998,-0.10710191509073841,-0.08275812162968127,-0.02434379346105714,-61.807257870703936,41.171689610863616,0,0,0,0,0,0,0,0,0,0,0
2016-07-28,4.0,4.056,3.94,3.98,4.224299999999999,4.402599999999998,-0.11097715989826895,-0.08840192928339881,-0.022575230614870143,-69.33844951325224,39.278637270883074,0,0,0,0,0,0,0,0,0,0,0
2016-07-29,4.018,4.018,3.9219999999999997,3.988,4.198699999999999,4.388359999999999,-0.11211044674293458,-0.09314363277530596,-0.018966813967628615,-69.00754793961681,39.705148826912904,0,0,0,0,0,0,0,0,0,0,0
2016-08-01,4.0,4.048,3.9019999999999997,3.928,4.173099999999999,4.373319999999998,-0.11650706239909248,-0.09781631870006327,-0.018690743699029205,-74.67995885750469,37.573494277354555,0,0,0,0,0,0,0,0,0,0,0
2016-08-02,3.93,3.93,3.8,3.838,4.1568999999999985,4.357119999999998,-0.12580347566361372,-0.10341375009277336,-0.02238972557084036,-138.4843722716953,34.57496884279483,0,0,0,0,0,0,0,0,0,0,0
2016-08-03,3.88,3.898,3.716,3.898,4.144399999999998,4.340079999999998,-0.12686700770090376,-0.10810440161439944,-0.01876260608650432,-160.9321175278624,38.12038468423759,0,0,0,0,0,0,0,0,100,0,0
2016-08-04,3.89,4.05,3.8139999999999996,4.05,4.136899999999998,4.324399999999998,-0.11412912530617803,-0.10930934635275516,-0.004819778953422865,-31.15468409586156,46.090515388108514,0,0,0,0,0,0,0,0,0,0,0
2016-08-05,3.986,4.05,3.9,4.034,4.119599999999998,4.309079999999998,-0.10412503938089479,-0.10827248495838308,0.004147445577488293,5.609580406985334,45.42723791452835,0,0,0,0,0,0,0,0,-100,0,0
2016-08-08,4.01,4.0280000000000005,3.9739999999999998,3.99,4.096599999999998,4.2924799999999985,-0.09861044169720135,-0.10634007630614674,0.007729634608945393,13.108614232209685,43.570323673742294,0,0,0,0,0,0,0,0,0,0,0
2016-08-09,3.9739999999999998,4.04,3.9739999999999998,4.04,4.071499999999999,4.275559999999998,-0.08917751825046505,-0.1029075646950104,0.013730046444545355,49.0536199654057,46.25867424970115,0,0,0,100,0,0,0,0,0,0,0
2016-08-10,4.1,4.118,4.1,4.11,4.052999999999998,4.260159999999998,-0.07518673756427052,-0.09736339926886242,0.0221766617045919,165.99114838108463,49.86010046678386,0,0,0,0,0,100,0,0,0,0,0
2016-08-11,4.118,4.12,4.078,4.1,4.034999999999998,4.245639999999998,-0.06416619158432546,-0.09072395773195503,0.026557766147629572,144.32729566549443,49.3512954944768,0,0,0,0,0,0,100,-100,0,0,0
2016-08-12,4.11,4.128,4.066,4.128,4.021299999999998,4.231319999999998,-0.05256700380420476,-0.08309256694640497,0.030525563142200215,132.02424242424118,50.8632791032272,0,0,0,0,0,0,0,-100,0,0,0
2016-08-15,4.128,4.128,4.128,4.128,4.020699999999998,4.218199999999999,-0.04288026689608593,-0.07505010693634116,0.032169840040255235,122.55263877495112,50.8632791032272,0,0,0,0,0,100,0,0,0,0,0
2016-08-16,4.1,4.11,4.022,4.022,4.022699999999999,4.203239999999997,-0.043258119553302166,-0.06869170945973337,0.0254335899064312,43.91491653204066,44.96925827006364,0,0,0,0,0,0,0,0,0,0,0
2016-08-17,4.022,4.0360000000000005,3.984,4.024,4.018999999999998,4.189759999999998,-0.04290164377700911,-0.06353369632318852,0.020632052546179405,6.077872744539242,45.098528971747776,0,0,0,0,0,100,0,0,0,0,0
2016-08-18,4.012,4.05,4.012,4.012,4.018499999999998,4.176719999999998,-0.043090710974762914,-0.0594450992535034,0.016354388278740487,12.90614346343718,44.424232928810795,0,0,0,0,0,100,0,0,0,0,0
2016-08-19,4.008,4.034,3.938,4.0,4.014699999999998,4.166719999999998,-0.04370504326958713,-0.056297088056720145,0.012592044787133015,-25.143022666377277,43.720260485849,0,0,0,0,0,0,0,0,0,0,0
2016-08-22,4.06,4.09,3.9360000000000004,4.07,4.0181999999999976,4.1631199999999975,-0.03810424899038001,-0.05265852024345212,0.014554271253072112,6.553966189856042,48.81561801250034,0,0,0,0,0,0,0,0,0,0,0
2016-08-23,4.01,4.086,4.01,4.034,4.0204999999999975,4.161199999999997,-0.03615372072045542,-0.04935756033885278,0.013203839618397363,2.842717594115342,46.48472676751565,0,0,0,0,0,0,0,0,0,0,0
2016-08-24,4.034,4.05,3.9739999999999998,4.02,4.019699999999998,4.160199999999998,-0.0353303299594554,-0.0465521142629733,0.011221784303517904,-51.47058823529451,45.573377903180926,0,0,0,0,0,0,0,0,0,0,0
2016-08-25,4.002,4.02,3.94,4.0,4.020699999999997,4.158879999999998,-0.035878039990472566,-0.04441729940847315,0.008539259418000586,-97.50519750519777,44.23903734906665,0,0,0,0,0,100,0,0,0,0,0
2016-08-26,3.94,4.004,3.94,4.0,4.021299999999997,4.152799999999998,-0.03589829098354347,-0.04271349772348722,0.006815206739943749,-102.35028248587496,44.23903734906665,0,0,0,0,0,0,0,0,0,0,0
2016-08-29,4.006,4.006,3.9339999999999997,3.9539999999999997,4.022599999999997,4.145279999999998,-0.03917457548257541,-0.042005713275304855,0.002831137792729442,-114.39916405433694,41.034250334760216,0,0,0,0,-100,0,0,0,0,0,0
2016-08-30,3.91,3.946,3.8739999999999997,3.8739999999999997,4.024399999999997,4.134839999999998,-0.047676797520477265,-0.04313993012433934,-0.004536867396137928,-185.16963973417268,36.13193182042572,0,0,0,0,0,0,0,0,0,0,0
2016-08-31,3.878,4.0,3.832,4.0,4.029499999999997,4.126839999999998,-0.04374347521375643,-0.04326063914222276,-0.0004828360715336752,-103.0081300812988,46.893343025127535,-100,0,0,0,0,0,0,0,0,0,0
2016-09-01,3.998,4.008,3.938,3.98,4.025999999999998,4.1182399999999975,-0.0417587528912402,-0.042960261892026244,0.0012015090007860413,-46.32237871674585,45.58051215286736,0,0,0,0,0,0,0,0,-100,0,0
2016-09-02,3.9219999999999997,3.988,3.85,3.938,4.021199999999998,4.111959999999997,-0.043078315141220624,-0.04298387254186512,-9.444259935550287e-05,-119.89247311827948,42.866454148153814,0,0,0,0,0,0,0,0,0,0,0
2016-09-05,3.938,3.97,3.89,3.892,4.0162999999999975,4.109799999999997,-0.04729075490811452,-0.043845249015115,-0.003445505892999516,-114.99244712990925,40.05343362016857,0,0,0,0,0,0,0,0,0,0,0
2016-09-06,3.892,3.998,3.872,3.872,4.007899999999998,4.104239999999997,-0.05164761506840909,-0.04540572222577382,-0.006241892842635273,-100.59880239520912,38.85942207685307,0,0,0,0,0,0,0,0,0,0,0
2016-09-07,3.878,3.9219999999999997,3.862,3.9,3.9973999999999976,4.096199999999998,-0.05223891445247553,-0.04677236067111416,-0.0054665537813613635,-112.02185792349847,41.489191035944415,0,0,0,0,0,0,0,0,0,0,0
2016-09-08,3.9,3.9560000000000004,3.8819999999999997,3.9,3.9873999999999983,4.084199999999998,-0.05210686793625996,-0.04783926212414332,-0.0042676058121166385,-70.57057057057081,41.489191035944415,0,0,0,0,0,100,0,0,0,0,0
2016-09-09,3.9,3.9019999999999997,3.862,3.9,3.975999999999998,4.072199999999998,-0.051409602227700635,-0.04855333014485479,-0.002856272082845848,-97.4772956609483,41.48919103594442,0,0,0,0,0,100,100,0,0,0,0
